"champion","tank","fighter","assassin","mage","marksman","support","attack","defense","magic","difficulty","engage","disengage","dive","pick","poke","siege","frontline","protect","scaling","early_pressure","skirmish","split_push","wave_clear","mobility","crowd_control","global_pressure","damage_physical","damage_magic","execution_difficulty","snowball_dependency","review_status","review_notes"
"Ashe",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.7,0.3,0.2,0.4,0.275,0.675,0,0.35,0.675,0.9,0.165,0.35,0.925,0.345,0,0.335,0.15,0,0.6666667,1,0.805,0.13,0.4,0.21,"pending",""
"Aurelion Sol",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.3,0.8,0.7,0.65,0.325,0,0.7,0.35,0.65,0.165,0.325,0.5,0.27,0.15,0.06,0.85,0,1,0,0.13,0.87,0.7,0.16,"pending",""
"Aurora",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,0.4,0.8,0.5,0,0.325,0.675,0.3,0.675,0.55,0.22,0.325,0.075,0.555,0.45,0.09,0.575,0.5,0.3333333,1,0.545,0.87,0.5,0.59,"pending",""
"Azir",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.6,0.3,0.8,0.9,0.55,0.65,0.65,0,0.35,1,0.165,0.325,0.45,0.21,0.3,0.305,0.45,1,0.6666667,0,0.74,0.87,0.9,0.18,"pending",""
"Bard",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.4,0.5,0.9,0.275,0.675,0,0.35,0.325,0.1,0.22,1,0.1,0.14,0.15,0.245,0.575,0,0.6666667,0,0.26,0.675,0.9,0.12,"pending",""
"Bel'Veth",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.4,0.2,0.7,1,0.65,0.325,0.675,0.35,0,0.1,0.26,0.325,0.325,0.59,0.7,0.695,0.275,0.5,1,0,0.61,0.455,1,0.12,"pending",""
"Blitzcrank",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4,0.8,0.5,0.4,0.625,0.675,0.325,0,0,0,0.74,1,0.1,0.14,0.3,0.245,0.275,0.5,0.3333333,0,0.26,0.325,0.4,0.12,"pending",""
"Brand",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.2,0.9,0.4,0.375,0.675,0,0.35,0.35,0.55,0.11,0.35,0.275,0.07,0,0.06,0.85,0,0.6666667,0,0.13,0.935,0.4,0.06,"pending",""
"Braum",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.3,0.9,0.4,0.3,0.8,0.675,0.325,0.35,0.325,0,0.795,1,0.3,0.105,0.15,0.09,0,0.5,1,0,0.195,0.26,0.3,0.09,"pending",""
"Briar",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.9,0.5,0.3,0.3,0.55,0.65,1,0.65,0,0,0.425,0.65,0.45,0.765,0.85,0.845,0.275,1,1,0,0.935,0.195,0.3,0.77,"pending",""
"Caitlyn",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,0.2,0.2,0.6,0.275,0.65,0,0,0.35,0.9,0.11,0.325,0.5,0.38,0,0.24,0.15,0,0.6666667,0,0.87,0.13,0.6,0.24,"pending",""
"Camille",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.6,0.3,0.4,0.55,0.325,1,0.65,0,0,0.48,0.65,0.425,0.83,1,0.69,0.275,1,0.6666667,0,0.87,0.195,0.4,0.74,"pending",""
"Cassiopeia",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.3,0.9,1,0.275,0.325,0,0.35,0.35,0.55,0.165,0.325,0.05,0.07,0.15,0.06,0.575,0,0.6666667,0,0.13,0.935,1,0.06,"pending",""
"Cho'Gath",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.3,0.7,0.7,0.5,0.25,0.325,0,0,0,0,0.685,0.325,0.3,0.105,0.15,0.09,0.3,0,0.3333333,0,0.195,0.805,0.5,0.09,"pending",""
"Corki",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.8,0.3,0.6,0.6,0,0,0,0,0.675,0.8,0.165,0.325,0.725,0.28,0,0.24,0.725,0,0,0,0.87,0.74,0.6,0.24,"pending",""
"Darius",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.9,0.5,0.1,0.2,0.525,0.325,0.675,0.35,0,0,0.725,0.325,0.45,0.765,0.55,0.72,0,0.5,0.3333333,0,0.935,0.065,0.2,0.27,"pending",""
"Diana",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.7,0.6,0.8,0.4,0.65,0.325,0.675,0.65,0,0,0.48,0.325,0.175,0.695,1,0.785,0.55,0.5,0.3333333,0,0.805,0.52,0.4,0.71,"pending",""
"Dr. Mundo",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.5,0.7,0.6,0.5,0.35,0.325,0.35,0,0,0,0.835,0.325,0.35,0.625,0.55,0.6,0.275,0,0.3333333,0,0.675,0.39,0.5,0.15,"pending",""
"Draven",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,0.3,0.1,0.8,0.275,0.325,0,0,0.35,0.8,0.165,0.65,0.75,0.415,0.15,0.395,0.15,0,0.6666667,0,0.935,0.065,0.8,0.47,"pending",""
"Ekko",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.3,0.7,0.8,0.275,0.325,0.35,0.65,0,0,0.165,0.65,0.125,0.725,0.6,0.15,0.3,0,0.6666667,1,0.675,0.805,0.8,0.65,"pending",""
"Elise",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.6,0.5,0.7,0.9,0.275,0,0.35,0.65,0.35,0.65,0.275,0.325,0.15,0.76,0.45,0.305,0.3,0,0.3333333,0,0.74,0.805,0.9,0.68,"pending",""
"Evelynn",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.4,0.2,0.7,1,0,0,0.35,0.65,0,0,0.11,0.325,0.1,0.59,0.45,0.12,0.575,0,0.3333333,0,0.61,0.805,1,0.62,"pending",""
"Ezreal",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.7,0.2,0.6,0.7,0,0,0,0,0.35,0.8,0.11,0,0.7,0.245,0,0.335,0.45,0,0,1,0.805,0.74,0.7,0.21,"pending",""
"Fiddlesticks",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.3,0.9,0.9,0.2,1,0,0,0,0,0.165,0.675,0.05,0.17,0.15,0.06,0.85,0,0.6666667,0,0.13,0.935,0.9,0.16,"pending",""
"Fiora",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0.4,0.2,0.3,0.275,0.325,0.35,0.65,0,0,0.37,0.65,0.25,0.8,0.85,0.875,0.275,0,0.6666667,0,1,0.13,0.3,0.8,"pending",""
"Fizz",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.6,0.4,0.7,0.6,0.75,0.325,0.675,0.3,0,0,0.37,0,0.15,0.76,0.85,0.63,0.55,0.5,0.6666667,0,0.74,0.455,0.6,0.68,"pending",""
"Galio",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.1,1,0.6,0.5,0.9,0.325,0.325,0,0,0,0.85,0.65,0.025,0.035,0.15,0.03,0.85,0.5,0.6666667,0,0.065,0.74,0.5,0.03,"pending",""
"Gangplank",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.6,0.4,0.9,0,0.325,0.35,0,0,0,0.48,0.325,0.175,0.695,0.55,0.66,0.275,0,0.3333333,0,0.805,0.26,0.9,0.21,"pending",""
"Garen",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.7,0.1,0.5,0.35,0.325,0.35,0,0,0,0.835,0.65,0.175,0.895,0.7,0.66,0.55,0,0.3333333,0,0.805,0.065,0.5,0.31,"pending",""
"Gnar",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.6,0.5,0.5,0.8,0.525,0.325,0.675,0.35,0,0,0.725,0,0.375,0.76,0.4,0.63,0.275,0.5,0.6666667,0,0.74,0.325,0.8,0.18,"pending",""
"Gragas",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.4,0.7,0.6,0.5,0.65,0.65,0.675,0.35,0,0,0.535,0.65,0.1,0.59,0.55,0.57,0.575,0.5,1,0,0.61,0.74,0.5,0.12,"pending",""
"Graves",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,0.5,0.3,0.3,0.55,0.325,0.325,0,0,0.35,0.275,0,0.725,0.28,0.15,0.24,0.425,0.5,0.3333333,0,0.87,0.195,0.3,0.24,"pending",""
"Gwen",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.4,0.5,0.5,0.275,0.325,0.675,0,0,0.1,0.37,0.65,0.175,0.695,0.7,0.785,0,0.5,0.3333333,0,0.805,0.325,0.5,0.21,"pending",""
"Hecarim",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.6,0.4,0.6,0.9,0.65,0.675,0,0,0,0.78,0.325,0.2,0.73,0.55,0.69,0.275,0.5,0.3333333,0,0.87,0.26,0.6,0.24,"pending",""
"Heimerdinger",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.6,0.8,0.8,0.275,0.675,0,0.35,0.35,0.75,0.33,0.35,0.05,0.07,0,0.185,0.3,0,0.6666667,0,0.13,0.87,0.8,0.06,"pending",""
"Hwei",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.7,0.1,0.8,0.9,0.2,1,0,0,0.35,0.65,0.055,0.35,0.4,0.245,0,0.21,0.85,0,0.3333333,0,0.455,0.87,0.9,0.21,"pending",""
"Illaoi",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.6,0.3,0.4,0.35,0,0.675,0,0,0,0.78,0.325,0.2,0.73,0.55,0.69,0.275,0.5,0,0,0.87,0.195,0.4,0.24,"pending",""
"Irelia",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.7,0.4,0.5,0.5,0.55,0.325,1,0.65,0,0,0.37,0.325,0.625,0.795,1,0.785,0,1,0.6666667,0,0.805,0.325,0.5,0.71,"pending",""
"Ivern",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.3,0.5,0.7,0.7,0.275,0.675,0.325,0.35,0,0,0.275,1,0.075,0.105,0.3,0.09,0.3,0.5,0.6666667,0,0.195,0.805,0.7,0.09,"pending",""
"Janna",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.3,0.5,0.7,0.7,0.275,1,0,0,0.35,0.65,0.275,1,0.075,0.105,0.3,0.215,0.3,0,0.6666667,0,0.195,0.805,0.7,0.09,"pending",""
"Jarvan IV",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.6,0.8,0.3,0.5,0.9,0.325,0.675,0.35,0,0,0.89,0.65,0.15,0.66,0.7,0.755,0.55,0.5,0.6666667,0,0.74,0.195,0.5,0.18,"pending",""
"Jax",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.5,0.7,0.5,0.55,0,1,0.35,0,0,0.425,0.325,0.175,0.695,0.4,0.785,0,1,0.3333333,0,0.805,0.455,0.5,0.21,"pending",""
"Jayce",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.8,0.4,0.3,0.7,0.475,0.65,0.675,0,0.325,0.35,0.37,0,0.725,0.73,0.4,0.815,0.7,0.5,0.6666667,0,0.87,0.195,0.7,0.24,"pending",""
"Jhin",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0.2,0.6,0.6,0.1,0.325,0,0.35,0.35,0.9,0.11,0.325,0.55,0.45,0,0.3,0.725,0,0.6666667,0,1,0.74,0.6,0.4,"pending",""
"Jinx",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,0.2,0.4,0.6,0,0.325,0,0.35,0.35,1,0.11,0.325,0.525,0.315,0.15,0.395,0.425,0,0.6666667,1,0.935,0.26,0.6,0.27,"pending",""
"K'Sante",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0.7,0.9,0.8,0.65,1,0.7,0,0.1,0.89,0.65,0.425,0.73,0.7,0.69,0,1,1,0,0.87,0.455,0.9,0.24,"pending",""
"Kai'Sa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.8,0.5,0.3,0.6,0.55,0,0.65,0,1,0.9,0.275,0.325,0.725,0.28,0.15,0.365,0.45,1,0,0,0.87,0.545,0.6,0.24,"pending",""
"Kalista",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,0.2,0.4,0.7,0.55,0.65,0.325,0,0.35,0.8,0.11,0.325,0.5,0.38,0.15,0.24,0.425,0.5,0.6666667,1,0.87,0.26,0.7,0.24,"pending",""
"Karma",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.1,0.7,0.8,0.5,0,0.35,0,0.35,0.35,0.55,0.385,1,0.025,0.035,0.3,0.03,0.3,0,0.3333333,0,0.065,0.87,0.5,0.03,"pending",""
"Karthus",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.2,1,0.7,0.1,0,0,0,0,0,0.11,0,0.05,0.07,0,0.06,0.575,0,0,0,0.13,1,0.7,0.06,"pending",""
"Kassadin",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,0.5,0.8,0.8,0,0.325,0.35,0.3,0,0,0.275,0.325,0.075,0.555,0.45,0.09,0.3,0,0.3333333,1,0.545,0.87,0.8,0.59,"pending",""
"Katarina",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.4,0.3,0.9,0.8,0.1,0,0.675,0.3,0,0,0.165,0.325,0.1,0.59,0.3,0.12,0.575,0.5,0,0,0.61,0.935,0.8,0.62,"pending",""
"Kayle",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.6,0.6,0.7,0.7,0,0.325,0,0,0,0.35,0.33,0.65,0.45,0.31,0.15,0.305,0.725,0,0.3333333,0,0.74,0.805,0.7,0.18,"pending",""
"Kayn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0.6,0.1,0.8,0.275,0.325,0.675,0.3,0,0,0.48,0.325,0.25,0.9,1,0.75,0,0.5,0.3333333,0,1,0.065,0.8,0.8,"pending",""
"Kennen",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.6,0.4,0.7,0.4,0.275,0,0,0.35,0.35,0.55,0.22,0,0.15,0.21,0,0.305,0.3,0,0.3333333,0,0.39,0.805,0.4,0.18,"pending",""
"Kha'Zix",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.9,0.4,0.3,0.6,0.1,0.325,0.675,0.3,0,0.1,0.22,0.325,0.225,0.765,0.45,0.27,0.55,0.5,0.6666667,0,0.935,0.195,0.6,0.87,"pending",""
"Kindred",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,0.2,0.2,0.4,0.275,0.325,0.325,0,0,0.35,0.11,0.325,0.95,0.28,0.15,0.24,0.15,0.5,0.3333333,0,0.87,0.13,0.4,0.24,"pending",""
"Kled",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.2,0.2,0.7,0.55,0.325,1,0,0,0.1,0.26,0.65,0.425,0.73,0.7,0.815,0,1,0.3333333,0,0.87,0.13,0.7,0.24,"pending",""
"Kog'Maw",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.8,0.2,0.5,0.6,0.1,0.325,0,0,0.325,0.35,0.11,0.65,0.725,0.28,0.15,0.365,0.725,0,0.3333333,0,0.87,0.675,0.6,0.24,"pending",""
"LeBlanc",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1,0.4,1,0.9,0.275,0,0.675,0.65,0.35,0.55,0.22,0.325,0.025,0.485,0.6,0.03,0.3,0.5,0.3333333,0,0.415,1,0.9,0.53,"pending",""
"Lee Sin",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.5,0.3,0.6,0.65,0,0.675,0.3,0,0,0.425,0.65,0.2,0.73,1,0.815,0.275,0.5,0.3333333,0,0.87,0.195,0.6,0.74,"pending",""
"Leona",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4,0.8,0.3,0.4,1,0.675,0.325,0.35,0,0,0.74,0.675,0.1,0.14,0.3,0.12,0.55,0.5,0.6666667,0,0.26,0.195,0.4,0.12,"pending",""
"Lillia",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0.2,1,0.8,0.2,0.325,0.35,0,0,0,0.26,0.325,0.225,0.45,0.55,0.45,0.85,0,0.3333333,0,0.35,1,0.8,0,"pending",""
"Lissandra",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.5,0.8,0.6,0.375,0.325,0,0.7,0.35,0.55,0.275,0.325,0.05,0.07,0.15,0.06,0.575,0,1,0,0.13,0.87,0.6,0.06,"pending",""
"Locke",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.6,0.4,0.2,0.5,0.275,0,0.675,0.3,0,0,0.22,0.65,0.15,0.86,0.6,0.305,0.3,0.5,0,1,0.74,0.48,0.5,0.78,"pending",""
"Lucian",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.8,0.5,0.3,0.6,0.275,0,0.675,0.3,0.325,0.25,0.275,0.65,0.5,0.73,0.6,0.24,0.15,0.5,0,0,0.87,0.195,0.6,0.74,"pending",""
"Lulu",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.5,0.7,0.5,0.475,0.675,0,0,0.35,0.55,0.275,1,0.1,0.14,0.3,0.245,0.85,0,0.6666667,0,0.26,0.805,0.5,0.12,"pending",""
"Lux",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.4,0.9,0.5,0.375,0.675,0.325,0,0.35,0.55,0.22,0.675,0.05,0.07,0,0.06,0.85,0.5,0.3333333,0,0.13,0.935,0.5,0.06,"pending",""
"Malphite",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.9,0.7,0.2,0.8,0,0.325,0,0,0,0.795,0.65,0.35,0.175,0.3,0.275,0.3,0.5,0.3333333,0,0.325,0.805,0.2,0.15,"pending",""
"Malzahar",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.2,0.2,0.9,0.6,0.1,0,0,0.35,0.325,0,0.11,0,0.05,0.07,0,0.06,0.575,0,0.3333333,0,0.13,0.935,0.6,0.06,"pending",""
"Maokai",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.3,0.8,0.6,0.3,0.9,1,0.325,0.35,0,0,0.74,0.675,0.075,0.105,0.3,0.09,0.55,0.5,1,0,0.195,0.39,0.3,0.09,"pending",""
"Master Yi",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0.4,0.2,0.4,0,0.325,0.35,0.3,0,0,0.37,0.65,0.475,0.8,0.85,0.875,0,0,0.3333333,1,1,0.13,0.4,0.8,"pending",""
"Mel",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.4,0.9,0.5,0.1,0.675,0,0.35,0.675,0.55,0.22,0.35,0.5,0.17,0,0.06,0.85,0,0.6666667,0,0.13,0.935,0.5,0.16,"pending",""
"Milio",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.4,0.8,0.5,0.55,1,0.325,0,0.35,0.65,0.22,1,0.05,0.07,0.3,0.06,0.575,0.5,0.6666667,0,0.13,0.87,0.5,0.06,"pending",""
"Miss Fortune",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.8,0.2,0.5,0.1,0,0.325,0,0,0.35,0.8,0.11,0.325,0.5,0.28,0,0.365,0.725,0,0.3333333,0,0.87,0.675,0.1,0.24,"pending",""
"Mordekaiser",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.4,0.6,0.7,0.4,0.375,0,0.35,0.35,0,0,0.48,0.65,0.1,0.59,0.7,0.57,0.85,0,0,0,0.61,0.805,0.4,0.12,"pending",""
"Morgana",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.1,0.6,0.8,0.1,0.275,0.675,0,0.35,0,0,0.33,1,0.025,0.035,0.15,0.03,0.575,0,0.6666667,0,0.065,0.87,0.1,0.03,"pending",""
"Naafiri",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.9,0.5,0,0.2,0.375,0,1,0.3,0,0,0.425,0.65,0.225,0.865,1,0.72,0.55,1,0,0,0.935,0,0.2,0.87,"pending",""
"Nami",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.3,0.7,0.5,0.65,0.675,0,0.35,0.35,0.55,0.165,1,0.1,0.14,0.15,0.12,0.85,0,1,0,0.26,0.805,0.5,0.12,"pending",""
"Nasus",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7,0.5,0.6,0.6,0.35,0,0.35,0,0,0.1,0.725,0.325,0.175,0.695,0.55,0.785,0.275,0,0,0,0.805,0.39,0.6,0.21,"pending",""
"Nautilus",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4,0.6,0.6,0.6,0.8,0.675,0,0.7,0,0,0.63,0.675,0.1,0.14,0.15,0.12,0,0,1,0,0.26,0.39,0.6,0.12,"pending",""
"Neeko",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.1,0.1,0.9,0.5,0.65,0.35,0.325,0.7,0.35,0.55,0.055,1,0.025,0.035,0.15,0.03,0.575,0.5,1,0,0.065,0.935,0.5,0.03,"pending",""
"Nidalee",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.4,0.7,0.8,0,0,0.35,0.3,0.35,0.65,0.22,0.65,0.125,0.625,0.45,0.275,0.575,0,0,0,0.675,0.805,0.8,0.75,"pending",""
"Nilah",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.8,0.4,0.4,1,0.55,0,0.675,0.65,0,0.1,0.37,0.65,0.2,0.73,1,0.69,0,0.5,0,0,0.87,0.26,1,0.74,"pending",""
"Nocturne",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.9,0.5,0.2,0.4,0,0,0.35,0.3,0,0.1,0.425,0.65,0.225,0.765,0.85,0.845,0,0,0.3333333,0,0.935,0.13,0.4,0.77,"pending",""
"Nunu & Willump",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.4,0.6,0.7,0.4,0.525,0.325,0,0.35,0,0,0.63,0.65,0.1,0.14,0.15,0.245,0.575,0,1,0,0.26,0.805,0.4,0.12,"pending",""
"Olaf",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.9,0.5,0.3,0.3,0.25,0,0.35,0,0,0,0.725,0.65,0.225,0.765,0.7,0.845,0,0,0,0,0.935,0.195,0.3,0.37,"pending",""
"Orianna",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.3,0.9,0.7,0.1,0.675,0,0,0.35,0.55,0.165,1,0.1,0.14,0.15,0.12,0.575,0,0.3333333,0,0.26,0.935,0.7,0.12,"pending",""
"Ornn",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.9,0.3,0.5,0.8,0.325,0.325,0,0,0,0.795,0.325,0.125,0.175,0,0.15,0,0.5,0.6666667,1,0.325,0.195,0.5,0.15,"pending",""
"Pantheon",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.9,0.4,0.3,0.4,0.55,0,1,0.65,0,0,0.37,0.325,0.225,0.765,1,0.72,0,1,0.3333333,0,0.935,0.195,0.4,0.77,"pending",""
"Poppy",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.6,0.7,0.2,0.6,0.8,0.65,0.675,0.35,0,0,0.835,0.65,0.15,0.66,0.7,0.63,0,0.5,1,0,0.74,0.13,0.6,0.18,"pending",""
"Pyke",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.9,0.3,0.1,0.7,0.55,0.35,1,1,0,0,0.165,1,0.45,0.865,0.6,0.27,0,1,0.3333333,0,0.935,0.065,0.7,0.87,"pending",""
"Qiyana",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.2,0.4,0.8,0.65,0,0.675,0.65,0,0,0.11,0,0,0.55,0.45,0,0.275,0.5,0.3333333,0,0.35,0.26,0.8,0.5,"pending",""
"Quinn",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.9,0.4,0.2,0.5,0.475,0.325,1,0.3,0.35,0.9,0.22,0.325,0.75,0.765,0.45,0.395,0.7,1,0.3333333,0,0.935,0.13,0.5,0.77,"pending",""
"Rakan",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.2,0.4,0.8,0.5,0.65,0.35,0.325,0.35,0,0,0.22,1,0.05,0.07,0.3,0.06,0.275,0.5,0.6666667,0,0.13,0.52,0.5,0.06,"pending",""
"Rammus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,1,0.5,0.5,0.525,0.325,0,0,0,0,0.85,0,0.1,0.14,0,0.12,0.275,0,0.6666667,0,0.26,0.325,0.5,0.12,"pending",""
